log,object,object_pose,regeneration,n_raw,after_regeneration,already_admissible,flipped,dead_zone,after_topdown_cone,after_scene_floor_corridor,after_table_gate,after_wall_sweep,outcome
run_cubo_aristas_calibrado_0807.log,rubiks_cube,P1,on,400,20,2,10,380,20,6,3,0,PLACE-FAIL
run_cubo_aristas_calibrado_0807.log,rubiks_cube,P2,on,400,14,5,8,386,14,7,,0,OK
run_cubo_aristas_calibrado_0807.log,rubiks_cube,P3,on,400,3,0,0,397,,0,,,
run_cubo_mitad_0806.log,rubiks_cube,P1,off,400,,,,,115,0,,0,PICK-FAIL
run_cubo_mitad_0806.log,rubiks_cube,P2,off,400,,,,,114,0,,,PICK-FAIL
run_cubo_mitad_0806.log,rubiks_cube,P3,off,400,,,,,123,0,,,PICK-FAIL
run_cubo_mitad_0806.log,rubiks_cube,P4,off,400,,,,,120,0,,,
run_cubo_mitad_seg40_0806.log,rubiks_cube,P1,on,400,52,4,22,348,51,27,3,0,PICK-FAIL
run_cubo_mitad_seg40_0806.log,rubiks_cube,P2,on,400,47,2,14,353,45,17,1,0,PICK-FAIL
run_cubo_mitad_seg40_0806.log,rubiks_cube,P3,on,400,61,1,33,339,60,29,4,0,PLACE-FAIL
run_cubo_mitad_seg40_0806.log,rubiks_cube,P4,on,400,64,1,22,336,62,27,1,0,PICK-FAIL
run_cubo_pared_calibrada_0806.log,rubiks_cube,P1,on,400,31,2,17,369,29,23,2,0,PICK-FAIL
run_cubo_pared_calibrada_0806.log,rubiks_cube,P2,on,400,15,4,9,385,14,8,5,0,PLACE-FAIL
run_cubo_pared_calibrada_0806.log,rubiks_cube,P3,on,400,36,3,21,364,36,29,8,0,PLACE-FAIL
run_cubo_pared_calibrada_0806.log,rubiks_cube,P4,on,400,14,3,7,386,13,7,2,0,PLACE-FAIL
run_cubo_pared_cierre_carne_0806.log,rubiks_cube,P1,on,400,33,3,11,367,31,18,6,0,PICK-FAIL
run_cubo_pared_cierre_carne_0806.log,rubiks_cube,P2,on,400,15,2,10,385,14,3,2,0,OK
run_cubo_pared_cierre_carne_0806.log,rubiks_cube,P3,on,400,46,4,22,354,46,19,5,0,PICK-FAIL
run_cubo_pared_cierre_carne_0806.log,rubiks_cube,P4,on,400,13,2,9,387,13,5,3,0,PICK-FAIL
run_cubo_pared_contacto_yaml_0806.log,rubiks_cube,P1,on,400,36,1,22,364,35,13,5,0,PLACE-FAIL
run_cubo_pared_contacto_yaml_0806.log,rubiks_cube,P2,on,400,15,3,7,385,14,7,1,0,PICK-FAIL
