trace,object,discriminator_confidence,survives_box_gates
intento_113814_yellow_trim,yellow_trim,0.2016,0
intento_113814_yellow_trim,yellow_trim,0.7301,0
intento_113814_yellow_trim,yellow_trim,0.0364,1
intento_113814_yellow_trim,yellow_trim,0.1347,0
intento_113814_yellow_trim,yellow_trim,0.3228,0
intento_113814_yellow_trim,yellow_trim,0.4892,0
intento_113814_yellow_trim,yellow_trim,0.2432,0
intento_113814_yellow_trim,yellow_trim,0.3741,0
intento_113814_yellow_trim,yellow_trim,0.3223,0
intento_113814_yellow_trim,yellow_trim,0.0007,0
intento_113814_yellow_trim,yellow_trim,0.3615,0
intento_113814_yellow_trim,yellow_trim,0.0542,0
intento_113814_yellow_trim,yellow_trim,0.2292,0
intento_113814_yellow_trim,yellow_trim,0.0119,0
intento_113814_yellow_trim,yellow_trim,0.6662,0
intento_113814_yellow_trim,yellow_trim,0.235,0
intento_113814_yellow_trim,yellow_trim,0.4928,0
intento_113814_yellow_trim,yellow_trim,0.4707,0
intento_113814_yellow_trim,yellow_trim,0.3321,0
intento_113814_yellow_trim,yellow_trim,0.5265,0
intento_113814_yellow_trim,yellow_trim,0.4683,0
intento_113814_yellow_trim,yellow_trim,0.1308,0
intento_113814_yellow_trim,yellow_trim,0.4957,0
intento_113814_yellow_trim,yellow_trim,0.1313,0
intento_113814_yellow_trim,yellow_trim,0.5177,0
intento_113814_yellow_trim,yellow_trim,0.3132,1
intento_113814_yellow_trim,yellow_trim,0.1255,0
intento_113814_yellow_trim,yellow_trim,0.4404,0
intento_113814_yellow_trim,yellow_trim,0.7157,0
intento_113814_yellow_trim,yellow_trim,0.4211,0
intento_113814_yellow_trim,yellow_trim,0.1144,0
intento_113814_yellow_trim,yellow_trim,0.7676,0
intento_113814_yellow_trim,yellow_trim,0.0399,0
intento_113814_yellow_trim,yellow_trim,0.073,0
intento_113814_yellow_trim,yellow_trim,0.4704,0
intento_113814_yellow_trim,yellow_trim,0.3637,0
intento_113814_yellow_trim,yellow_trim,0.4538,0
intento_113814_yellow_trim,yellow_trim,0.868,0
intento_113814_yellow_trim,yellow_trim,0.7906,0
intento_113814_yellow_trim,yellow_trim,0.3977,0
intento_113814_yellow_trim,yellow_trim,0.0012,0
intento_113814_yellow_trim,yellow_trim,0.1903,0
intento_113814_yellow_trim,yellow_trim,0.0186,0
intento_113814_yellow_trim,yellow_trim,0.0791,0
intento_113814_yellow_trim,yellow_trim,0.5701,0
intento_113814_yellow_trim,yellow_trim,0.8106,0
intento_113814_yellow_trim,yellow_trim,0.069,0
intento_113814_yellow_trim,yellow_trim,0.2801,0
intento_113814_yellow_trim,yellow_trim,0.4031,0
intento_113814_yellow_trim,yellow_trim,0.2386,0
intento_113814_yellow_trim,yellow_trim,0.2564,0
intento_113814_yellow_trim,yellow_trim,0.0688,0
intento_113814_yellow_trim,yellow_trim,0.4035,0
intento_113814_yellow_trim,yellow_trim,0.1122,0
intento_113814_yellow_trim,yellow_trim,0.0944,0
intento_113814_yellow_trim,yellow_trim,0.054,0
intento_113814_yellow_trim,yellow_trim,0.1421,0
intento_113814_yellow_trim,yellow_trim,0.489,0
intento_113814_yellow_trim,yellow_trim,0.3576,0
intento_113814_yellow_trim,yellow_trim,0.0087,0
intento_113814_yellow_trim,yellow_trim,0.6247,0
intento_113814_yellow_trim,yellow_trim,0.2333,0
intento_113814_yellow_trim,yellow_trim,0.1124,0
intento_113814_yellow_trim,yellow_trim,0.127,0
intento_113814_yellow_trim,yellow_trim,0.0955,0
intento_113814_yellow_trim,yellow_trim,0.2135,0
intento_113814_yellow_trim,yellow_trim,0.0627,0
intento_113814_yellow_trim,yellow_trim,0.233,0
intento_113814_yellow_trim,yellow_trim,0.0879,0
intento_113814_yellow_trim,yellow_trim,0.2307,0
intento_113814_yellow_trim,yellow_trim,0.0804,0
intento_113814_yellow_trim,yellow_trim,0.3554,0
intento_113814_yellow_trim,yellow_trim,0.2403,0
